student_name,percentage_score
Folashade Adebayo,88
Chinedu Okafor,85
Babajide Shonibare,80
Amina Bello,78
Kelechi Opara,75
Funmilayo Alao,72
Olanrewaju Gbadamosi,70
Ngozi Egwu,68
Abubakar Yusuf,65
Yetunde Adesina,62
Chukwudi Okoro,60
Temitope Bakare,58
Olumide Awosika,55
Chioma Nnaji,52
Ibrahim Musa,50
Morenike Akinyemi,48
Emeka Obi,45
Yinka Adeyemi,42
Halima Usman,40
Damilola Faleke,38
Uche Nwosu,35
Ronke Coker,32
Segun Okoye,30
Bolanle Alabi,28
Tunde Adenuga,25
Genevieve Okoro,22
David Ojo,20
Femi Balogun,18
Damini Coker,15
Tiwa Solarin,12
